12000048,21034276,SLWP,,,1/3/2012,7/31/2017,5/6/2029,12y ,On-going,Abroad,No records,MS Engineering/PhD in Electrical & Electronics Eng'g. ,National University of Singapore,Singapore,Singapore
15000049,11705092,SLWP,,,8/1/2015,12/31/2015,0 / 5 / 0,1y,On-going,Abroad,Joint PHD program of UP Dil and Unamur,Ph.D in History,Universite de Namur,Namur,Belgium
10000050,11002462,SDWOP,,,6/1/2010,5/31/2012,2 / 0 / 0,2y 0m,with RSO,Abroad,No records,Ph.D in Philosophy,University of Bergen,Bergen,Norway
10000051,11002462,SLWOP,Full-time,,6/1/2010,5/31/2011,1 / 0 / 0,1y 0m,with RSO,Abroad,Norwegian State Educational Loan Fund,"PhD in Philosophy ( Post - Doctoral Fellow, Norway)","University of Bergen, Norway",,Norway
16000052,12574618,SLWP,Full-time,Original,6/3/2016,8/12/2016,0 / 2 / 10,0y 2m,On-going,Local,,Prepare for compre exam for MPA,UP Diliman,Diliman,Philippines
15000053,31112789,Sabbatical,,,8/1/2015,7/31/2016,1 / 0 / 0,1.5y 0m,On-going,Local,,,,,
16000054,11284713,SLWP,Full-time,Original,8/1/2016,7/31/2017,1 / 0 / 0,1y 0m,On-going,Local,,Ph.D. Filipino: Panitikan,"CAL, UP Diliman",Diliman,Philippines
16000055,11504863,SLWP,,Original,8/1/2016,12/31/2016,0 / 5 / 0,0y 5m,On-going,Local,,MA Asian Studies,"AC, UP Diliman",Diliman,Philippines
13000056,11285713,SLWP,,,6/1/2013,5/31/2014,1 / 0 / 0,1y 0m,Served,Local,No records,MA in Speech Communication,UP Diliman,Diliman,Philippines
10000057,12083886,SLWP,,,11/1/2010,3/31/2011,0 / 5 / 0,0y 5m,Served,Local,No records,MA in Asian Studies,UP Diliman,Diliman,Philippines
11000058,12083886,SLWP,,,6/1/2011,10/31/2011,0 / 5 / 0,0y 5m,Served,Local,No records,MA in Asian Studies,UP Diliman,Diliman,Philippines
16000059,11725049,SLWP,Full-time,Original,2/1/2016,1/31/2017,1 / 0 / 0,2y ,On-going,Abroad,,Ph.D. in Civil Engineering,University of Auckland,New Zealand,New Zealand
15000060,191034815,SDWP,,,5/20/2015,8/16/2015,0 / 2 / 28,1y,On-going,Abroad,No records,"Concert tour, SALIWHIMIG  2015",Europe and the USA,Europe/USA,Europe/USA
10000061,191034815,SDWP,,,3/30/2010,6/21/2010,0 / 2 / 23,1y,Served,Abroad,,,"USA, Canada and Europe",,
